AE,Sonos One,Original,Custom,Bit,Property,Condition,Description
0,0,0,0,0,SupportsAirPlayVideoV1,,
0,0,0,0,1,SupportsAirPlayPhoto,,
0,0,0,0,2,,,
0,0,0,0,3,,,
0,0,0,0,4,,,
0,0,0,0,5,SupportsAirPlaySlideshow,,
0,0,0,0,6,,,
0,0,0,0,7,SupportsAirPlayScreen,,
0,0,0,0,8,,,
1,1,1,1,9,SupportsAirPlayAudio,,
0,0,0,0,10,,,
1,1,1,1,11,AudioRedunant,,
0,0,0,0,12,,,
0,0,0,0,13,,,
0,0,1,1,14,Authentication_4,,FairPlay authentication
0,1,1,0,15,MetadataFeatures_0,,Send artwork image to receiver
1,1,1,1,16,MetadataFeatures_1,,Send track progress status to receiver
0,1,1,0,17,MetadataFeatures_2,,Send NowPlaying info via DAAP
1,1,1,1,18,AudioFormats_0,,
1,1,1,1,19,AudioFormats_1,,
1,1,1,1,20,AudioFormats_2,,
0,0,0,0,21,AudioFormats_3,,
1,1,1,1,22,,,
0,0,0,0,23,Authentication_1,,RSA authentication (NA)
0,0,0,0,24,,,
0,0,0,0,25,,,
1,1,0,0,26,Authentication_8,26 || 51,MFi authentication
0,0,0,0,27,SupportsLegacyPairing,,
0,0,0,0,28,,,
0,0,0,0,29,,,
1,1,1,1,30,HasUnifiedAdvertiserInfo,,
0,0,0,0,31,,,
0,0,0,0,32,"IsCarPlay
SupportsVolume","
!32",
0,0,0,0,33,SupportsAirPlayVideoPlayQueue,,
0,0,0,0,34,SupportsAirPlayFromCloud,34 && flags_6_SupportsAirPlayFromCloud,
0,0,0,0,35,SupportsTLS_PSK,,
0,0,0,0,36,,,
0,0,0,0,37,,,
1,1,1,1,38,SupportsUnifiedMediaControl,,
0,0,0,0,39,,,
1,1,1,1,40,SupportsBufferedAudio,srcvers >= 354.54.6 && 40,
1,1,1,1,41,SupportsPTP,srcvers >= 366 && 41,
0,0,0,0,42,SupportsScreenMultiCodec,,
0,0,0,0,43,SupportsSystemPairing,,
0,0,0,0,44,IsAPValeriaScreenSender,,
0,0,0,0,45,,,
1,1,1,1,46,SupportsHKPairingAndAccessControl,,
1,1,1,1,47,,,
1,1,1,1,48,SupportsCoreUtilsPairingAndEncryption,38 || 46 || 43 || 48,
0,0,0,0,49,SupportsAirPlayVideoV2,,
0,0,0,0,50,MetadataFeatures_3,,Send NowPlaying info via bplist
0,0,0,0,51,SupportsUnifiedPairSetupAndMFi,,
0,0,0,0,52,SupportsSetPeersExtendedMessage,,
0,0,0,0,53,,,
0,0,0,0,54,SupportsAPSync,,
0,0,0,0,55,SupportsWoL,55 || 56,
,,0,0,56,SupportsWoL,55 || 56,
,,0,0,57,,,
,,0,0,58,SupportsHangdogRemoteControl,((isAppleTV || isAppleAudioAccessory) && 58) || (isThirdPartyTV && flags_10),
,,0,0,59,SupportsAudioStreamConnectionSetup,59 && !disableStreamConnectionSetup,
,,0,0,60,SupportsAudioMediaDataControl,59 && 60 && !disableMediaDataControl,
,,0,0,61,SupportsRFC2198Redundancy,,
,,0,0,62,,,
,,0,0,63,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,0000000001010010101110100000001000000010110000111000000000000000,,
,"Correct binary of ""Custom"":",,,,0000000000000001110000110100000001000000010111010100101000000000,,
,,,,,,,